protocol,train_knots,test_knots,train_count,test_count,model,mae,median_ape_pct,r2,rmse,subset,case,model_label
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B2-Global-H-Poly,0.013874834752071323,1.5101031791268316,0.8031698028355064,0.017628442967726903,High amplitude,Case 2,B2
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B3-Global-HS-Poly,0.013022268965456796,1.3739831741053052,0.8262271652612875,0.016563764000217675,High amplitude,Case 2,B3
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B4-Discrete-Local,0.014873695537129685,1.5847616568602647,0.7785480935241449,0.018698544528681086,High amplitude,Case 2,B4
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,Ours,0.012817772528739496,1.3725503360194466,0.8336096900736667,0.016208099962777004,High amplitude,Case 2,Ours
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B0-Global-H-Linear,0.014890746577835888,1.5793381033632934,0.7747159832986686,0.01885963492211108,High amplitude,Case 3,B0
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B1-Global-HS-Linear,0.014678416229851436,1.570573454370718,0.7833047120609302,0.018496639192010885,High amplitude,Case 3,B1
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B2-Global-H-Poly,0.014067795861247477,1.5284142629718471,0.7966174801289612,0.017919459380110657,High amplitude,Case 3,B2
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B3-Global-HS-Poly,0.013153336458691127,1.4169590466794373,0.8225348284587495,0.016738813006692988,High amplitude,Case 3,B3
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B4-Discrete-Local,0.01526904230652858,1.6325079804528233,0.7664336332843753,0.0192031840205665,High amplitude,Case 3,B4
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,Ours,0.013123400640230386,1.4379877247969262,0.8263704002565221,0.016556936121287072,High amplitude,Case 3,Ours
