protocol,train_knots,test_knots,train_count,test_count,model,mae,median_ape_pct,r2,rmse,subset,case,model_label
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,B4-Discrete-Local,0.023308850744987272,2.253183190224705,0.32215138669774057,0.03271406009587445,Long pulse,Case 1,B4
hold_6_alt,"5,20,30,40,50,60","10,15,25,35,45,55",612,612,Ours,0.015606039084273021,1.6916331433837708,0.7545016398112325,0.01968758240669482,Long pulse,Case 1,Ours
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B0-Global-H-Linear,0.019522093889658962,2.2375543986109667,0.6268917429063193,0.024270879905911792,Long pulse,Case 2,B0
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B1-Global-HS-Linear,0.016620426713104552,1.8635671745934017,0.7317346947121577,0.020580235766052602,Long pulse,Case 2,B1
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B2-Global-H-Poly,0.017323764167887765,1.8878334198370046,0.692147863812062,0.02204647584816641,Long pulse,Case 2,B2
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B3-Global-HS-Poly,0.014943209102126714,1.5723929387227846,0.7717261415942205,0.018984369623538187,Long pulse,Case 2,B3
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,B4-Discrete-Local,0.023534153208703754,2.3856575711808867,0.3421721174593946,0.032227322856281736,Long pulse,Case 2,B4
hold_7_dense,"5,15,30,45,60","10,20,25,35,40,50,55",510,714,Ours,0.013950244489620607,1.531874012694247,0.8012162882426904,0.017715707004804453,Long pulse,Case 2,Ours
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B0-Global-H-Linear,0.019871315992194948,2.1715340276854853,0.5982707765478287,0.025184585290334866,Long pulse,Case 3,B0
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B1-Global-HS-Linear,0.01714184494818696,2.0044739984166267,0.717711741129903,0.021111276735504263,Long pulse,Case 3,B1
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B2-Global-H-Poly,0.018653467308135257,2.0382194112170624,0.6414611204373104,0.023792288625808625,Long pulse,Case 3,B2
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B3-Global-HS-Poly,0.01691929621084916,1.7879696530887517,0.707977407979669,0.02147218878824358,Long pulse,Case 3,B3
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,B4-Discrete-Local,0.02969475090385683,2.8215245005457925,-0.07020070462918548,0.04110557308926458,Long pulse,Case 3,B4
hold_8_dense,"5,30,45,60","10,15,20,25,35,40,50,55",408,816,Ours,0.017305736617210864,1.8718583835913927,0.7029298258997007,0.021656966091301067,Long pulse,Case 3,Ours
